ABERDEEN: VIA FIRENZE, 48: 2:41.9025257:12.4940037
ABITART HOTEL: VIA PELLEGRINO MATTEUCCI, 10/30: 4:41.8721377:12.4808332
ACCADEMIA: PIAZZA DELL'ACCADEMIA DI S. LUCA, 75: 3:41.9018731:12.4837242
ACROPOLI: VIA PRINCIPE AMEDEO, 63/67: 2:41.89889:12.5001817
ADAS: VIA CAVOUR, 233: 2:41.8943162:12.4916487
ADLER: VIA MODENA, 5: 2:41.902426:12.4946417
ADRIANO: VIA DI PALLACORDA, 2: 3:41.90235:12.47579
ADRIATIC: VIA GIOVANNI VITELLESCHI, 25: 2:41.9044278:12.4622629
AL CASALETTO DI SETTECAMINI: VIA DI SETTECAMINI, 3: 2:41.9383259:12.6212499
AL SANPIETRINO: VIA GIOVANNI BETTOLO, 43: 2:41.9118624:12.456437
AL VIMINALE HILL INN & HOTEL: VIA DEL VIMINALE, 38: 2:41.9002489:12.4959438
ALBERGO ABRUZZI: PIAZZA DELLA ROTONDA, 69: 3:41.753263:12.860919
ALDOBRANDESCHI: VIA DEGLI ALDOBRANDESCHI, 295: 4:41.874991:12.3939447
ALESSANDRINO: VIA CLEMENTE ALESSANDRINO, 9: 3:41.8947725:12.4525927
ALEXANDRA: VIA VITTORIO VENETO, 18: 3:41.904783:12.4879295
ALEXIS: VIA GAETA, 29: 1:41.904581:12.5004161
ALIMANDI: VIA TUNISI, 8: 3:41.90737:12.45295
ALIUS HOTEL: VIA NAZIONALE, 243: 1:41.9013938:12.4941845
ALL TIME RELAIS & SPORT HOTEL: VIA DOMENICO JACHINO, 181: 4:41.8093212:12.4466718
ALL WAYS GARDEN HOTEL & LEISURE: VIA DI CASTEL DI LEVA, 108: 4:41.7861282:12.5013431
ALLO STATUTO: VIA DELLO STATUTO, 32: 1:41.8948111:12.5015558
ALPI: VIA CASTELFIDARDO, 84: 4:41.9051682:12.5027277
ALTA QUOTA - PALACAVICCHI: VIA DI CIAMPINO, 70: 3:41.8105826:12.5816218
ALTAVILLA: VIA PRINCIPE AMEDEO, 9/B: 2:41.9001092:12.498187
AMADEUS: VIA GIOBERTI, 72: 3:41.8981813:12.499927
AMALFI: VIA MERULANA, 278: 3:41.8963223:12.4992891
AMBRA PALACE HOTEL: VIA PRINCIPE AMEDEO, 257: 4:41.8954497:12.505858
AMERICAN PALACE EUR: VIA LAURENTINA, 552: 4:41.8257137:12.4786951
ANAHI: VIA DELLA PENNA, 65: 2:41.9095566:12.4746832
ANDREOTTI: VIA CASTELFIDARDO, 55: 3:41.9054622:12.502215
ANFITEATRO FLAVIO: VIA DEI SERPENTI, 130: 3:41.8958927:12.4904832
